"THEKEY","TRIM(DESCRIPTION)"
"189639:1009","We donate half of our commission to the school that the member has selected."
"223447:232192","iGive.com is an online shopping site where a portion of each purchase is
donated to the shopper's favorite charity. We drive traffic both through
advertising on our site, as well as a weekly e-newsletter (conscious opt-in)
sent to registered members. Additional exposure is available through our search
engine, iSearchiGive.com A downloadable application called ""The iGive Toolbar""
is available to our users. The iGive Toolbar is powered by Loyalty Ventures,
and it is in compliance with the Advertiser Codes of Conduct. The Toolbar was
designed to address our #1 customer demand - to make it easier for a member's
purchases to benefit their favorite charity. Below are some important features
of the iGive Toolbar: (1) The Toolbar is fully compliant with the advertiser
Codes of Conduct. (2) The Toolbar does not redirect other affiliates' properly
configured links. A properly configured link is either a known network link, or
a masked link which contains the appended parameter ""afsrc=1"" (3) The Toolbar
is a conscious opt-in. It is voluntarily installed only by iGive.com and
iSearchiGive.com users who have indicated that they wish to support a specific
cause through our service. These are users who have made a conscious decision
to raise money for their chosen charities through online shopping and searching
at iGive. (4) The Toolbar is never bundled with other applications. It is never
hidden in any way. (5) The Toolbar is easy to deactivate and easy to uninstall."
"223447:3808","charity"
"223447:1011","charity based"
"223447:265865","iGive.com is an online shopping site where a portion of each purchase is donated to the shopper's favorite charity. We drive traffic both through advertising on our site, as well as a weekly e-newsletter (conscious opt-in) sent to registered members. Additional exposure is available through our search engine, iSearchiGive.com A downloadable application called ""The iGive Toolbar"" is available to our users. The iGive Toolbar is powered by Loyalty Ventures, and it is in compliance with the Advertiser Codes of Conduct. The Toolbar was designed to address our #1 customer demand - to make it easier for a member's purchases to benefit their favorite charity. Below are some important features of the iGive Toolbar: (1) The Toolbar is fully compliant with the advertiser Codes of Conduct. (2) The Toolbar does not redirect other affiliates' properly configured links. A properly configured link is either a known network link, or a masked link which contains the appended parameter ""afsrc=1"" (3) The Toolbar is a conscious opt-in. It is voluntarily installed only by iGive.com and iSearchiGive.com users who have indicated that they wish to support a specific cause through our service. These are users who have made a conscious decision to raise money for their chosen charities through online shopping and searching at iGive. (4) The Toolbar is never bundled with other applications. It is never hidden in any way. (5) The Toolbar is easy to deactivate and easy to uninstall.


Software Publisher Disclosure Template
=========================

Software name(s):  The iGive Button

Current Browser(s): IE, Firefox, Safari, Chrome

Software Type and Functionality:

•	Add- on / extension (browser app).  Signals to user that his / her cause is getting credit on redirect and upon landing at merchant site.
•	Participation in the iGive toolbar is mandatory.

Software Distribution:

•	First party distribution only.  We anticipate the iGive Button to be available in the various browser “app stores”, always as “The iGive Button”.
 
Update Process:

•	Automatic

Overwrites (Y/N):

•	Paid Search:No. Currently follows AFSRC/CJ behavior. 
•	Afsrc/CJ domains: On afsrc=1, the Button does not operate.  On a CJ network domain, no cookie is dropped unless and until the user affirmatively clicks on an alert.
•	SEO: Yes – Toolbar is active on natural search results. Follows AFSRC / CJ behavior requirements
•	Direct Load:: Yes – Toolbar is active on direct load/type-in. Follows AFSRC / CJ behavior requirements
•	Email: Follows AFSRC / CJ behavior


========================="
"223447:265870","iGive.com is recognized within the affiliate marketing industry as a top-performing loyalty affiliate, and the leader in socially-conscious consumer shopping.   Over 1,600 top-notch online merchants are currently participating in the iGive.com program, and you, too, can be part of the magic. 

Donations are priority #1 - not discounts, not rebates. iGive.com protects your brand identity and pricing structure. Align your brand with your customer by supporting her personal choice in Causes and experience new levels of loyalty. iGive.com does the heavy lifting, worthy causes are better off, and your shoppers are happy. Best of all, there's no extra work required on your part. (You don’ t have to dig into what the shopper is passionate about or why – just by being with iGive, you are automatically seen as an avenue of support for your customer’s choice.) 

With the introduction of The iGive Button, every time our socially conscious shoppers visit your site, they are reminded of the positive connection between shopping your brand &amp; benefiting their choice.  (This non-intrusive Add-on is a voluntary download for our members.) The triangle in the lower right corner of your site stays with them throughout their experience, offering coupons &amp; offers (and subtly encouraging a bigger cart!).  Enhanced search results allow members to use the search engine of their choice and still see the positive connection between your brand, iGive, and their Cause.

Vital Stats
340,000+ active, registered members
50,000+ registered causes/charities
1,500+ participating merchants
325,000+ opt-in email newsletter subscribers
2,500,000+ monthly page views
125,000+ unique monthly visitors
47,000+ fans of facebook page
2,500+ twitter followers
Majority female demographic, 30-60 yrs old,
$50K-100K average annual income

To view our members’ only site, please use the guest log in:
email:  guest@igive.com
password: guestpass"
"223447:250177","iGive.com is an online shopping site where a portion of each purchase is donated to the shopper's favorite charity. We drive traffic both through advertising on our site, as well as a weekly e-newsletter (conscious opt-in) sent to registered members. Additional exposure is available through our search engine, iSearchiGive.com A downloadable application called ""The iGive Toolbar"" is available to our users. The iGive Toolbar is powered by Loyalty Ventures, and it is in compliance with the Advertiser Codes of Conduct. The Toolbar was designed to address our #1 customer demand - to make it easier for a member's purchases to benefit their favorite charity. Below are some important features of the iGive Toolbar: (1) The Toolbar is fully compliant with the advertiser Codes of Conduct. (2) The Toolbar does not redirect other affiliates' properly configured links. A properly configured link is either a known network link, or a masked link which contains the appended parameter ""afsrc=1"" (3) The Toolbar is a conscious opt-in. It is voluntarily installed only by iGive.com and iSearchiGive.com users who have indicated that they wish to support a specific cause through our service. These are users who have made a conscious decision to raise money for their chosen charities through online shopping and searching at iGive. (4) The Toolbar is never bundled with other applications. It is never hidden in any way. (5) The Toolbar is easy to deactivate and easy to uninstall.


Software Publisher Disclosure Template
=========================

Software name(s):  The iGive Button

Current Version number(s): IE, Firefox: 4.4.0  Safari / Chrome: 4.3.0 

Latest version update: 4.4 released week of June 30, 2012.  4.3 released April, 2012.  Bug fixes, speed improvements, diagnostics improvements in 4.4 and 4.3. 

Software Type and Functionality:

•	Add- on / extension (browser app).  Signals to user that his / her cause is getting credit on redirect and upon landing at merchant site.
•	Participation in the iGive toolbar is mandatory.

Software Distribution:

•	First party distribution only.  We anticipate the iGive Button to be available in the various browser “app stores”, always as “The iGive Button”.
 
Update Process:

•	Automatic

Overwrites (Y/N):

•	Paid Search: Currently follows AFSRC/CJ behavior.  Per discussions with CJ, our next major version update (currently in development for anticipated late summer release) will not trigger on paid search ads on Bing / Google / Yahoo.
•	Afsrc/CJ domains: On afsrc=1, the Button does not operate.  On a CJ network domain, no cookie is dropped unless and until the user affirmatively clicks on an alert.
•	SEO: Follows AFSRC / CJ behavior
•	Direct Load:: Follows AFSRC / CJ behavior
•	Email: Follows AFSRC / CJ behavior


=========================

Date: June 30, 2012"
"251580:3872","Mr. Rebates was founded in 2002 as an inventive way to save money via cash back rebates while shopping online. In the years that have followed we have added thousands of stores, supplied the best deals and coupons, added new innovative shopping features and awarded cash back for over 11 years to our savvy members."
"358129:4049","FatWallet.com is the preferred shopping resource for over 900,000 savvy consumers. We publish money-saving offers, online coupons, and cash back rebates. We offer our members a shopping tool providing increased customer satisfaction, increased conversions, and increased sales for both our members and our merchant partners. More details about how our shopping tool functions can be found at: http://www.fatwallet.com/toolbar/merchantfaq"
"358129:256907","FatWallet.com is the preferred shopping resource for over 900,000 savvy consumers. We publish thousands of current store discounts, coupon codes and free shipping offers that stack with Cash Back rewards from more than 1,600 online retailers. The FatWallet forums represent the pulse of an evolving online marketplace where smart consumers gather to share and learn."
"358129:1022","FatWallet is an interactive marketplace connecting consumers and merchants.
Participating merchants have the option to participate in the cash back
incentive program, but it is not a requirement for inclusion on FatWallet.
FatWallet also provides special offers, price comparison, retailer ratings,
and consumer message boards."
"381523:285149","For over 14 years BenefitHub has been the largest and most successful online employee discount marketplace in the US, providing millions of members nationwide and in Canada with exclusive discounts and special offers. 

We service four of the nation’s top ten largest employers – UPS, Citi, McDonald’s and Target - and their 1.4 million employees, as well as dozens of Fortune 500 companies and thousands of small and medium size organizations. 

As a BenefitHub Merchant Partner your will receive the following:
•	Access to millions of shoppers.
•	Additional promotional opportunities are available for increased commission. Please contact us for what’s available this month.
•	Easy way to earn additional revenue and increase traffic to your website.

If you need more information on our program we would be more than happy to set up a 30 minute demo of our members only site or you can visit our guest website at https://merchants.benefithub.com/. 

We look forward to partnering with you.  
BenefitHub"
"381523:4073","We drive traffic to our site through our SmartSavings program; SmartSavings is our online marketplace for our clients to offer their employees/members as an elective benefit. The employee/members would login using a username and password specific to that client, once logged in they can view the merchants promotional offers and click on the offer to open another browser to the view the merchants landing page and redeem the offer. Advertiser login Username: ssmerchant  Password: marketplace  website: www.smartsavings.motivano.com"
"381523:240188","We drive traffic to our site through our SmartSavings program; SmartSavings is our online marketplace for our clients to offer their employees/members as an elective benefit. The employee/members would login using a username and password specific to that client, once logged in they can view the merchants promotional offers and click on the offer to open another browser to the view the merchants landing page and redeem the offer. Advertiser login Username: ssmerchant Password: marketplace website: www.smartsavings.motivano.com 

Occasionally, Motivano may have the opportunity to promote select advertisers through a third party format including offline promotions such as mail, newsletters, etc, and will invite specific advertisers to participate."
"381523:274808","We drive traffic to our site through our SmartSavings program; SmartSavings is our online marketplace for our clients to offer their employees/members as an elective benefit. The employee/members would login using a username and password specific to that client, once logged in they can view the merchants promotional offers and click on the offer to open another browser to the view the merchants landing page and redeem the offer. Advertiser login Username: ssmerchant Password: marketplace website: www.smartsavings.motivano.com Occasionally, Motivano may have the opportunity to promote select advertisers through a third party format including offline promotions such as mail, newsletters, etc, and will invite specific advertisers to participate. Our site is HTTPS protected on all pages, including those where we present offers. It is standard practice by many browsers to strip the referring URL when navigating from HTTPS to HTTP sites. This is standard browser behavior, and we cannot control it. Also, our user base consists of employees and members of many large Fortune 500 organizations. Many of these organizations enact group policy or firewall rules that automatically strip referring urls. This is also something that is out of our hands and will block referring URLs."
"505087:236395","CreationsRewards, located at www.creationsrewards.net, is an online rewards program which awards members points for shopping online, completing surveys, and completing various offers. We provide a portion of the commission we earn on a sale in the form of points to our members. We promote merchants via our website's shopping portal where users will earn points for each valid and complete purchase they make. Upon earning points for a reward, members can redeem their points for gift cards to leading stores nationwide."
"505087:4547","CreationsRewards"
"553326:266170","As the leading provider of loyalty shopping solutions that increase revenue,
Cartera Commerce solutions strengthen customer loyalty and improve member
engagement for financial institutions, card issuers, loyalty programs and
affinity organizations. Cartera Commerce runs over 60 programs that reach over
150 million consumers with the ability to convert member rewards into points,
miles or cash back."
"553326:273149","As the leading provider of loyalty shopping solutions that increase revenue, Cartera Commerce solutions strengthen customer loyalty and improve member engagement for financial institutions, card issuers, loyalty programs and affinity organizations. Cartera Commerce runs over 60 programs that reach over 150 million consumers with the ability to convert member rewards into points, miles or cash back."
"553326:273133","As the leading provider of loyalty shopping solutions that increase revenue, Cartera Commerce solutions strengthen customer loyalty and improve member engagement for financial institutions, card issuers, loyalty programs and affinity organizations. Cartera Commerce runs over 60 programs that reach over 150 million consumers with the ability to convert member rewards into points, miles or cash back. 
<br /> Software Publisher Disclosure 
<br /> Software name(s) FreeCause, Inc. Toolbar 
<br /> American Airlines AAdvantage Shopping https://www.aadvantageeshopping.com 
<br /> 
<br /> Software Type and Functionality 
<br /> 
<br /> The FreeCause Toolbar is a Proactive Click Toolbar 
<br /> Merchants that are participating in the Cartera ID are required to be opted-in to the FreeCause Toolbar for all client programs. No exceptions at this time 
<br /> 
<br /> Software Distribution 
<br /> FreeCause Toolbar is strictly a First Party software that is available through supporting client programs only 
<br /> FreeCause Toolbar is distributed via both web and email channels 
<br /> Web properties include log-in pages, online shopping homepage and additional placements throughout the shopping experience 
<br /> Emails channels include both shopping and shopper acquisition emails; customers may not have to be opted-in to Shopping emails to receive emails that may promote the FreeCause Toolbar 
<br /> Customers must log-in in order to both download the FreeCause Toolbar as well as to launch “earning” capabilities 
<br /> 
<br /> Update Process 
<br /> FreeCause Toolbar is updated automatically 
<br /> 
<br /> Overwrites (Y/N) 
<br /> Paid Search No 
<br /> Afsrc/CJ domains No 
<br /> SEO Yes – Merchants approved in the FreeCause Toolbar will automatically be redirected through Cartera/CJ link. Merchants that are not in the AAdvantage program will have a “RED” status. Participating merchants will have a “GREEN” status. 
<br /> Direct Load Yes – Merchants approved in the FreeCause Toolbar will automatically be redirected through Cartera/CJ link. Merchants that are not in the AAdvantage program will have a “RED” status. Participating merchants will have a “GREEN” status. 
<br /> Email: Yes – Merchants approved in the FreeCause Toolbar will automatically be redirected through Cartera/CJ link. Merchants that are not in the AAdvantage program will have a “RED” status. Participating merchants will have a “GREEN” status. 
<br /> 
<br /> 
<br /> Software name(s): Billeo, Inc. Toolbar – Powers client programs only live on the Cartera ID: 
<br /> Delta Skymiles Shopping: http://www.skymilesshopping.com/ 
<br /> United Airlines MileagePlus Shopping: https://www.mileageplusshopping.com 
<br /> US Airways Dividend Miles Storefront: https://www.dividendmilesstorefront.com/ 
<br /> 
<br /> Software Type and Functionality: 
<br /> Customers must log into their program to enable the Toolbar functionality to be live and running once first downloaded The Billeo Toolbar is a Proactive Click Toolbar: 
<br /> 
<br /> Software Distribution: 
<br /> Billeo Toolbar is strictily a First Party software that is available through supporting client programs only 
<br /> Billeo Toolbar is distributed via both web and email channels: 
<br /> Web properties include log-in pages, online shopping homepage and additional placements throughout the shopping experience 
<br /> Emails channels include both shopping and shopper acquisition emails; customers may not have to be opted-in to Shopping emails to receive emails that may promote the Billeo Toolbar 
<br /> Customers must log-in in order to both download the Billeo Toolbar as well as to launch “earning” capabilities 
<br /> 
<br /> Update Process: 
<br /> Billeo Toolbar is updated Automatically. 
<br /> 
<br /> Overwrites (Y/N) 
<br /> Paid Search: N 
<br /> Afsrc/CJ domains: No 
<br /> SEO: No 
<br /> Direct Load: No 
<br /> Email: No 
<br />"
"553326:4815","Vesdia Corporation, a CJ performer publisher that runs loyalty shopping
programs for leading clients such as American Airlines, Citibank, Hawaiian
Airlines and Citizens Bank, has developed a downloadable toolbar for its
membership. This toolbar, developed by FreeCause, is a free download that sits
on internet browsers, reminds members when they are on a site where they can
earn rewards, and rewards members for shopping at participating merchants and
conducting searches. The toolbar also displays members’ account balances in
the browser window and is very easy for members to install and uninstall on
Internet
Explorer and Firefox internet browsers."
"553326:1036","We offer reabtes to our members on each purchase that is deposited into their college savings account, retirement savings account, or to the charity of their choice."
"553326:252882","Vesdia Corporation, a CJ performer publisher that runs loyalty shopping programs for leading clients such as American Airlines, Citibank, Hawaiian Airlines and Citizens Bank, has developed a downloadable toolbar for its membership. This toolbar, developed by FreeCause, is a free download that sits on internet browsers, reminds members when they are on a site where they can earn rewards, and rewards members for shopping at participating merchants and conducting searches. The toolbar also displays members’ account balances in the browser window and is very easy for members to install and uninstall on Internet Explorer and Firefox internet browsers.
<br>
=========================
<br>
<br>
Software name(s): FreeCause, Inc. Toolbar – Powers client programs only live on the Vesdia ID: 
<br>
•	American Airlines AAdvantage Shopping: https://www.aadvantageeshopping.com/ 
<br>
<br>
Version number(s): Current Verision is 1.300.426 across for all client programs across all browsers including IE, FireFox, Chrome
<br>
<br>
Latest version update: Last update was June 1, 2012 – Updates occur typically every 30 days
<br>
<br>
Software Type and Functionality:
<br>
•	Functionality is a Toolbar application that must be downloaded onto a customer’s desktop computer and launched in the appropriate web browser
<br>
•	Customers must log into their program to enable the Toolbar functionality to be live and running once first downloaded
<br>
•	The FreeCause Toolbar is a Proactive Click Toolbar:
<br>
<br>
o	If a member goes straight to a Merchant site, there is a Curtain that slides down and prompts member to “Earn” – they must click to be redirected through an affiliate link
<br>
o	If searching on Google, Yahoo or Bing, there is an Overlay for participating merchants and there is an additional click to “Earn” 
<br>
<br>
•	Merchants that are participating in the Cartera ID are required to be opted-in to the FreeCause Toolbar for all client programs. No exceptions at this time.
<br>
•	Members have the ability to Uninstall the FreeCause Toolbar at any time via a drop down in the Toolbar menu
<br>
<br>
Software Distribution:
<br>
•	FreeCause Toolbar is strictily a First Party software that is available through supporting client programs only
<br>
•	FreeCause Toolbar is distributed via both web and email channels:
<br>
<br>
o	Web properties include log-in pages, online shopping homepage and additional placements 
<br>
o	Emails channels include both shopping and shopper acquisition emails; customers may not have to be opted-in to Shopping emails to receive emails that may promote the FreeCause Toolbar
<br>
o	Customers must log-in in order to both download the FreeCause Toolbar as well as to launch “earning” capabilities
<br>
<br>
Update Process:
<br>
•	FreeCause Toolbar is updated Automatically. 
<br>
<br>
Overwrites (Y/N):
<br>
•	Paid Search: No overrides on Paid Search
<br>
•	Afsrc/CJ domains: No; recognizes another publishers cookie or link
<br>
•	SEO: Yes – Approved merchants auto-redirect
<br>
•	Direct Load: Yes – Approved merchants auto-redirect
<br>
•	Email: Yes – Yes – Approved merchants auto-redirect"
"553326:250241","Vesdia Corporation, a CJ performer publisher that runs loyalty shopping programs for leading clients such as American Airlines, Citibank, Hawaiian Airlines and Citizens Bank, has developed a downloadable toolbar for its membership. This toolbar, developed by FreeCause, is a free download that sits on internet browsers, reminds members when they are on a site where they can earn rewards, and rewards members for shopping at participating merchants and conducting searches. The toolbar also displays members’ account balances in the browser window and is very easy for members to install and uninstall on Internet Explorer and Firefox internet browsers.

=========================

Software name(s): FreeCause, Inc. Toolbar – Powers client programs only live on the Vesdia ID: 
•	American Airlines AAdvantage Shopping: https://www.aadvantageeshopping.com/ 

Version number(s): Current Verision is 1.300.426 across for all client programs across all browsers including IE, FireFox, Chrome

Latest version update: Last update was June 1, 2012 – Updates occur typically every 30 days

Software Type and Functionality:
•	Functionality is a Toolbar application that must be downloaded onto a customer’s desktop computer and launched in the appropriate web browser
•	Customers must log into their program to enable the Toolbar functionality to be live and running once first downloaded
•	The FreeCause Toolbar is a Proactive Click Toolbar:
o	If a member goes straight to a Merchant site, there is a Curtain that slides down and prompts member to “Earn” – they must click to be redirected through an affiliate link
o	If searching on Google, Yahoo or Bing, there is an Overlay for participating merchants and there is an additional click to “Earn” 
•	Merchants that are participating in the Cartera ID are required to be opted-in to the FreeCause Toolbar for all client programs. No exceptions at this time.
•	Members have the ability to Uninstall the FreeCause Toolbar at any time via a drop down in the Toolbar menu

Software Distribution:

•	FreeCause Toolbar is strictily a First Party software that is available through supporting client programs only
•	FreeCause Toolbar is distributed via both web and email channels:
o	Web properties include log-in pages, online shopping homepage and additional placements 
o	Emails channels include both shopping and shopper acquisition emails; customers may not have to be opted-in to Shopping emails to receive emails that may promote the FreeCause Toolbar
o	Customers must log-in in order to both download the FreeCause Toolbar as well as to launch “earning” capabilities

Update Process:

•	FreeCause Toolbar is updated Automatically. 

Overwrites (Y/N):

•	Paid Search: No overrides on Paid Search

•	Afsrc/CJ domains: No; recognizes another publishers cookie or link

•	SEO: Yes – Approved merchants auto-redirect

•	Direct Load: Yes – Approved merchants auto-redirect

•	Email: Yes – Yes – Approved merchants auto-redirect


========================="
"553326:273124","As the leading provider of loyalty shopping solutions that increase revenue, Cartera Commerce solutions strengthen customer loyalty and improve member engagement for financial institutions, card issuers, loyalty programs and affinity organizations. Cartera Commerce runs over 60 programs that reach over 150 million consumers with the ability to convert member rewards into points, miles or cash back.
<br /> Software Publisher Disclosure
<br /> Software name(s) FreeCause, Inc. Toolbar 
<br /> American Airlines AAdvantage Shopping https://www.aadvantageeshopping.com
<br /> 
<br /> Software Type and Functionality
<br /> 
<br /> The FreeCause Toolbar is a Proactive Click Toolbar
<br /> Merchants that are participating in the Cartera ID are required to be opted-in to the FreeCause Toolbar for all client programs. No exceptions at this time
<br /> 
<br /> Software Distribution
<br /> FreeCause Toolbar is strictly a First Party software that is available through supporting client programs only
<br /> FreeCause Toolbar is distributed via both web and email channels
<br /> Web properties include log-in pages, online shopping homepage and additional placements throughout the shopping experience
<br /> Emails channels include both shopping and shopper acquisition emails; customers may not have to be opted-in to Shopping emails to receive emails that may promote the FreeCause Toolbar
<br /> Customers must log-in in order to both download the FreeCause Toolbar as well as to launch “earning” capabilities
<br /> 
<br /> Update Process
<br /> FreeCause Toolbar is updated automatically
<br /> 
<br /> Overwrites (Y/N)
<br /> Paid Search No
<br /> Afsrc/CJ domains No
<br /> SEO Yes – Merchants approved in the FreeCause Toolbar will automatically be redirected through Cartera/CJ link. Merchants that are not in the AAdvantage program will have a “RED” status. Participating merchants will have a “GREEN” status.
<br /> Direct Load Yes – Merchants approved in the FreeCause Toolbar will automatically be redirected through Cartera/CJ link. Merchants that are not in the AAdvantage program will have a “RED” status. Participating merchants will have a “GREEN” status.
<br /> Email: Yes – Merchants approved in the FreeCause Toolbar will automatically be redirected through Cartera/CJ link. Merchants that are not in the AAdvantage program will have a “RED” status. Participating merchants will have a “GREEN” status.
<br /> 
<br /> 
<br /> Software name(s): Billeo, Inc. Toolbar – Powers client programs only live on the Cartera ID: 
<br /> Delta Skymiles Shopping: http://www.skymilesshopping.com/ 
<br /> United Airlines MileagePlus Shopping: https://www.mileageplusshopping.com 
<br /> US Airways Dividend Miles Storefront: https://www.dividendmilesstorefront.com/
<br /> 
<br /> Software Type and Functionality:
<br /> Customers must log into their program to enable the Toolbar functionality to be live and running once first downloaded The Billeo Toolbar is a Proactive Click Toolbar:
<br /> 
<br /> Software Distribution:
<br /> Billeo Toolbar is strictily a First Party software that is available through supporting client programs only
<br /> Billeo Toolbar is distributed via both web and email channels:
<br /> Web properties include log-in pages, online shopping homepage and additional placements throughout the shopping experience
<br /> Emails channels include both shopping and shopper acquisition emails; customers may not have to be opted-in to Shopping emails to receive emails that may promote the Billeo Toolbar
<br /> Customers must log-in in order to both download the Billeo Toolbar as well as to launch “earning” capabilities
<br /> 
<br /> Update Process:
<br /> Billeo Toolbar is updated Automatically. 
<br /> 
<br /> Overwrites (Y/N):
<br /> Paid Search: N
<br /> Afsrc/CJ domains: No
<br /> SEO: No 
<br /> Direct Load: No
<br /> Email: No
<br />"
"566659:4877","Cashback rewards"
"593103:279926","11/12/2013 - MyPoints is a leading on-line reward membership program that offers its members points for their purchases. In 2009 MyPoints launched the Point Finder toolbar which offers their members a quick and easy way to perform web searches and track their point balance. The toolbar displays an advertiser’s available point reward and allows users to activate points tracking for specific advertisers. For more information about the toolbar, visit the MyPoints website and navigate to the “Easy Points” web page. For participating merchants, members will see a drop-down that indicates that a Point-earning opportunity is available. If they click on that, they will be redirected via a MyPoints affiliate link. They will then see a drop-down confirming how many Points they will earn shopping at that participating merchant. Members always have the option to enable or disable this shopping alert feature of the toolbar. Members always have to click to be redirected through a MyPoints affiliate link. This does not happen automatically unless clicking on links displayed on MyPoints.com. 
<br /> ========================= 
<br /> Software name(s): MyPoints Score 
<br /> 
<br /> Version number(s): 1.300.426 for Firefox and Internet Explorer 
<br /> 
<br /> Latest version update: 1.300.426 for Firefox and Internet Explorer 
<br /> 
<br /> Software Type and Functionality: 
<br /> 
<br /> • Toolbar 
<br /> o Web Search 
<br /> o Shopping Alerts 
<br />  Optional, members can receive alerts from participating MyPoints merchants 
<br />  Options, merchants can opt out of program 
<br /> 
<br /> Software Distribution: 
<br /> 
<br /> • Only distributed on MyPoints.com 
<br /> • Not bundled with any other software 
<br /> 
<br /> Update Process: 
<br /> 
<br /> • automatic 
<br /> 
<br /> Overwrites (Y/N): 
<br /> 
<br /> • Paid Search: No 
<br /> • Afsrc/CJ domains: No 
<br /> • SEO: No 
<br /> • Direct Load: No 
<br /> • Email: No 
<br /> 
<br /> ========================="
"593103:279976","MyPoints is a leading on-line reward membership program that offers its members Points for a variety of on-line activities that include: shopping online, taking surveys, playing games and watching videos. Members can then redeem their Points for electronic and physical gift cards, airline miles, Paypal deposit and charitable donations."
"593103:279929","11/12/2013 - MyPoints is a leading on-line reward membership program that offers its members points for their purchases. In 2013 MyPoints is launching MyPoints Score!(tm), a browser extension which offers their members an easy way to engage with their favorite brands while not on the MyPoints site. The extension is passive and does not automatically engage the user without the user expressly engaging each and every time. There are no auto redirects and this browser extension operates via an affirmative click. For more information about the browser extension, visit the MyPoints website and navigate to the “Easy Points” web page 
<br /> ========================= 
<br /> Software name(s): MyPoints Score 
<br /> 
<br /> Version number(s): 1.300.426 for Firefox and Internet Explorer 
<br /> 
<br /> Latest version update: 1.300.426 for Firefox and Internet Explorer 
<br /> 
<br /> Software Type and Functionality: 
<br /> 
<br /> • Toolbar 
<br /> o Web Search 
<br /> o Shopping Alerts 
<br />  Optional, members can receive alerts from participating MyPoints merchants 
<br />  Options, merchants can opt out of program 
<br /> 
<br /> Software Distribution: 
<br /> 
<br /> • Only distributed on MyPoints.com 
<br /> • Not bundled with any other software 
<br /> 
<br /> Update Process: 
<br /> 
<br /> • automatic 
<br /> 
<br /> Overwrites (Y/N): 
<br /> 
<br /> • Paid Search: No 
<br /> • Afsrc/CJ domains: No 
<br /> • SEO: No 
<br /> • Direct Load: No 
<br /> • Email: No 
<br /> 
<br /> ========================="
"593103:250175","MyPoints is a leading on-line reward membership program that offers its members points for their purchases. In 2009 MyPoints launched the Point Finder toolbar which offers their members a quick and easy way to perform web searches and track their point balance. The toolbar displays an advertiser’s available point reward and allows users to activate points tracking for specific advertisers.  For more information about the toolbar, visit the MyPoints website and navigate to the “Easy Points” web page.

For participating merchants, members will see a drop-down that indicates that a Point-earning opportunity is available. If they click on that, they will be redirected via a MyPoints affiliate link. They will then see a drop-down confirming how many Points they will earn shopping at that participating merchant. Members always have the option to enable or disable this shopping alert feature of the toolbar. Members always have to click to be redirected through a MyPoints affiliate link. This does not happen automatically unless clicking on links displayed on MyPoints.com.
<br>
=========================
<br>
Software name(s): Point Finder<br>
<br>
Version number(s): 1.300.426 for Firefox and Internet Explorer<br>
<br>
Latest version update: 1.300.426 for Firefox and Internet Explorer<br>
<br>
Software Type and Functionality:<br>
<br>
•	Toolbar<br>
o	Web Search<br>
o	Shopping Alerts<br>
	Optional, members can receive alerts from participating MyPoints merchants<br>
	Options, merchants can opt out of program<br>
<br>
Software Distribution:<br>
<br>
•	Only distributed on MyPoints.com<br>
•	Not bundled with any other software<br>
<br>
Update Process:<br>
<br>
•	automatic<br>
<br>
Overwrites (Y/N):<br>
<br>
•	Paid Search: N<br>
•	Afsrc/CJ domains: N, software built to honor other’s affiliate codes<br>
•	SEO: Y, toolbar alerts consumer of pending offer and affirmative click would overwrite<br>
•	Direct Load: Y, toolbar alerts consumer of pending offer and affirmative click would overwrite<br>
•	Email: Y, toolbar alerts consumer of pending offer and affirmative click would overwrite<br>
<br>

========================="
"593103:5042","MyPoints is a leading on-line reward membership program that offers its members points for their purchases. In 2009 MyPoints launched the Point Finder toolbar which offers their members a quick and easy way to perform web searches and track their point balance. The toolbar displays an advertiser’s available point reward and allows users to activate points tracking for specific advertisers.  For more information about the toolbar, visit the MyPoints website and navigate to the “Easy Points” web page.

For participating merchants, members will see a drop-down that indicates that a Point-earning opportunity is available. If they click on that, they will be redirected via a MyPoints affiliate link. They will then see a drop-down confirming how many Points they will earn shopping at that participating merchant. Members always have the option to enable or disable this shopping alert feature of the toolbar. Members always have to click to be redirected through a MyPoints affiliate link. This does not happen automatically unless clicking on links displayed on MyPoints.com."
"593103:1039","MyPoints is a flexible, online reward network with over 6 million active members. In business since 1997, we award Points to our members when they shop online (at a wide variety of stores), answer emails, complete surveys, conduct web searches, and more. They can redeem Points for gift cards and certificates from a similarly wide variety of stores, restaurants, airlines and hotels."
